Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charest Isabelle C.A.Q.-E.F.L.;Fontaine Pierre D.D.;Houle Sébastien Ind;Legault Alexandre Q.S.;Moore Lynn P.C.Q./C.P.Q;Moynan Caitlin P.V.Q./G.P.Q.;Paquet Guillaume P.Q.;Prévost Stéphanie P.C.Q-E.E.D.;Quirion-Bouchard Tommy C.Q.;Vadeboncoeur Claude P.L.Q./Q.L.P.;B.V.;B.R.
204;Brome-Missisquoi;2022-10-03;G;Bedford, v;1;;37;359;57;1;2;20;2;3;11;20;0;19;135;3
204;Brome-Missisquoi;2022-10-03;G;Bedford, v;1;;38;364;55;1;1;28;4;4;24;8;0;14;139;0
204;Brome-Missisquoi;2022-10-03;G;Stanbridge Station, m;1;;39;227;82;1;0;14;1;1;11;14;0;10;134;4
204;Brome-Missisquoi;2022-10-03;G;Pike River, m;1;;40;231;55;2;0;14;0;1;10;23;0;17;122;0
204;Brome-Missisquoi;2022-10-03;G;Pike River, m;1;;41;218;57;0;4;21;3;0;16;21;0;13;135;0
204;Brome-Missisquoi;2022-10-03;G;Saint-Armand, m;1;;42;351;69;0;1;28;3;1;21;37;0;28;188;0
204;Brome-Missisquoi;2022-10-03;G;Saint-Armand, m;1;;43;357;44;0;1;18;2;3;21;20;2;33;144;1
204;Brome-Missisquoi;2022-10-03;G;Saint-Armand, m;1;;44;342;65;1;0;38;11;4;15;21;0;31;186;0
204;Brome-Missisquoi;2022-10-03;G;Frelighsburg, m;1;;45;318;73;2;0;35;2;3;17;11;0;12;155;2
204;Brome-Missisquoi;2022-10-03;G;Frelighsburg, m;1;;46;344;45;1;0;77;7;1;27;10;1;19;188;2
204;Brome-Missisquoi;2022-10-03;G;Frelighsburg, m;1;;47;344;59;0;2;50;0;2;35;14;0;30;192;1
204;Brome-Missisquoi;2022-10-03;G;Abercorn, vl;1;;48;292;43;0;1;31;3;1;32;16;0;35;162;2
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;49;397;45;0;0;48;3;2;13;17;0;19;147;4
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;50;399;56;1;0;38;5;5;32;17;0;9;163;1
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;51;399;52;0;0;37;7;4;31;20;2;16;169;2
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;52;413;54;2;1;30;3;0;25;22;2;19;158;5
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;53;402;57;3;1;27;6;0;16;21;2;17;150;1
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;54;404;67;1;0;38;2;2;22;26;2;16;176;2
204;Brome-Missisquoi;2022-10-03;G;Dunham, v;1;;55;408;75;2;1;34;1;3;10;32;0;24;182;1
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;1;;56;394;96;1;0;21;3;1;19;18;1;19;179;3
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;1;;57;377;72;1;0;26;1;1;20;18;0;18;157;1
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;1;;58;390;51;1;0;27;6;1;11;16;0;20;133;5
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;1;;59;381;22;0;1;7;2;4;9;28;0;12;85;3
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;1;;60;391;29;0;1;36;1;3;9;23;1;8;111;4
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;1;;61;391;69;1;1;17;2;2;17;14;0;9;132;0
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;2;;62;410;47;1;2;23;0;6;15;22;1;11;128;3
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;2;;63;400;29;0;1;15;3;1;29;26;0;16;120;2
204;Brome-Missisquoi;2022-10-03;G;Cowansville, v;2;;64;386;42;0;1;21;2;3;11;25;1;8;114;1
