Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Sylvain E.A.;Dufour Guillaume Q.S.;Forget Michel P.Q.;Lemieux Sylvain P.L.Q./Q.L.P.;Poulin Frédéric P.C.Q-E.E.D.;Rivest Mathieu C.A.Q.-E.F.L.;B.V.;B.R.
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;2;;58;372;1;21;19;2;47;84;174;4
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;2;;59;408;1;14;31;9;53;83;191;6
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;2;;60;366;0;13;10;5;43;94;165;2
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;2;;61;380;1;9;15;3;58;62;148;0
826;Côte-du-Sud;2022-10-03;G;Saint-Cyrille-de-Lessard, p;1;;62;300;0;9;22;14;42;69;156;0
826;Côte-du-Sud;2022-10-03;G;Saint-Cyrille-de-Lessard, p;1;;63;327;0;12;18;17;44;69;160;2
826;Côte-du-Sud;2022-10-03;G;Saint-Marcel, m;1;;64;365;2;10;27;16;65;90;210;3
826;Côte-du-Sud;2022-10-03;G;Saint-Adalbert, m;1;;65;397;1;11;33;12;59;126;242;0
826;Côte-du-Sud;2022-10-03;G;Sainte-Félicité, m;1;;66;315;2;10;18;14;31;78;153;5
826;Côte-du-Sud;2022-10-03;G;Saint-Pamphile, v;1;;67;392;0;13;22;14;51;88;188;2
826;Côte-du-Sud;2022-10-03;G;Saint-Pamphile, v;1;;68;403;0;6;20;8;49;91;174;2
826;Côte-du-Sud;2022-10-03;G;Saint-Pamphile, v;1;;69;389;0;10;20;9;53;86;178;2
826;Côte-du-Sud;2022-10-03;G;Saint-Pamphile, v;1;;70;386;3;5;15;14;61;107;205;1
826;Côte-du-Sud;2022-10-03;G;Saint-Pamphile, v;1;;71;393;2;12;24;6;46;118;208;5
826;Côte-du-Sud;2022-10-03;G;Saint-Omer, m;1;;72;242;0;10;15;2;48;71;146;4
826;Côte-du-Sud;2022-10-03;G;Sainte-Perpétue, m;1;;73;337;2;6;13;4;35;51;111;0
826;Côte-du-Sud;2022-10-03;G;Sainte-Perpétue, m;1;;74;336;1;3;11;3;30;50;98;1
826;Côte-du-Sud;2022-10-03;G;Sainte-Perpétue, m;1;;75;330;0;9;11;5;31;49;105;3
826;Côte-du-Sud;2022-10-03;G;Sainte-Perpétue, m;1;;76;328;0;7;15;8;46;43;119;1
826;Côte-du-Sud;2022-10-03;G;Tourville, m;1;;77;242;0;1;12;6;36;56;111;0
826;Côte-du-Sud;2022-10-03;G;Tourville, m;1;;78;235;0;3;17;4;35;41;100;1
826;Côte-du-Sud;2022-10-03;G;Saint-Damase-de-L'Islet, m;1;;79;239;0;10;10;10;39;63;132;1
826;Côte-du-Sud;2022-10-03;G;Saint-Damase-de-L'Islet, m;1;;80;245;1;2;7;5;35;53;103;1
826;Côte-du-Sud;2022-10-03;G;Saint-Aubert, m;1;;81;389;2;17;20;12;37;86;174;2
826;Côte-du-Sud;2022-10-03;G;Saint-Aubert, m;1;;82;382;1;17;15;9;68;85;195;2
826;Côte-du-Sud;2022-10-03;G;Saint-Aubert, m;1;;83;377;0;11;20;8;71;97;207;1
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;84;388;1;10;26;5;62;68;172;1
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;85;391;0;16;35;12;26;73;162;1
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;86;390;2;19;27;11;29;72;160;1
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;87;394;1;10;22;13;47;89;182;3
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;88;353;0;16;16;7;35;71;145;2
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;89;390;1;20;28;6;24;58;137;1
826;Côte-du-Sud;2022-10-03;G;Saint-Jean-Port-Joli, m;1;;90;396;2;25;29;9;39;50;154;3
826;Côte-du-Sud;2022-10-03;G;Saint-Roch-des-Aulnaies, m;1;;91;403;0;37;54;15;42;63;211;4
826;Côte-du-Sud;2022-10-03;G;Saint-Roch-des-Aulnaies, m;1;;92;397;1;22;36;18;50;92;219;3
826;Côte-du-Sud;2022-10-03;G;Sainte-Louise, p;1;;93;271;0;16;33;19;42;68;178;1
826;Côte-du-Sud;2022-10-03;G;Sainte-Louise, p;1;;94;279;2;31;36;9;36;39;153;4
826;Côte-du-Sud;2022-10-03;G;Saint-Onésime-d'Ixworth, m;1;;95;214;0;10;13;14;33;39;109;1
826;Côte-du-Sud;2022-10-03;G;Saint-Onésime-d'Ixworth, m;1;;96;218;0;16;19;13;37;35;120;0
826;Côte-du-Sud;2022-10-03;G;Sainte-Anne-de-la-Pocatière, p;1;;97;327;0;14;16;26;32;48;136;1
826;Côte-du-Sud;2022-10-03;G;Sainte-Anne-de-la-Pocatière, p;1;;98;326;0;18;15;19;16;62;130;2
826;Côte-du-Sud;2022-10-03;G;Sainte-Anne-de-la-Pocatière, p;1;;99;325;1;7;17;19;46;56;146;3
826;Côte-du-Sud;2022-10-03;G;Sainte-Anne-de-la-Pocatière, p;1;;100;331;1;11;17;13;39;69;150;2
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;101;389;1;21;32;21;25;67;167;2
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;102;376;0;24;18;12;27;44;125;2
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;103;386;0;27;32;19;25;44;147;1
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;104;393;0;19;31;12;25;73;160;2
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;105;388;1;13;25;11;25;68;143;2
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;106;386;2;19;37;9;22;59;148;2
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;107;387;0;13;20;16;27;59;135;1
826;Côte-du-Sud;2022-10-03;G;La Pocatière, v;1;;108;369;1;15;14;22;36;51;139;0
826;Côte-du-Sud;2022-10-03;G;Rivière-Ouelle, m;1;;109;396;0;22;29;9;50;78;188;4
826;Côte-du-Sud;2022-10-03;G;Rivière-Ouelle, m;1;;110;395;1;27;44;22;28;76;198;1
826;Côte-du-Sud;2022-10-03;G;Saint-Pacôme, m;1;;111;325;1;18;21;17;30;71;158;3
826;Côte-du-Sud;2022-10-03;G;Saint-Pacôme, m;1;;112;316;0;22;40;6;37;60;165;2
826;Côte-du-Sud;2022-10-03;G;Saint-Pacôme, m;1;;113;321;0;29;31;10;29;60;159;0
826;Côte-du-Sud;2022-10-03;G;Saint-Pacôme, m;1;;114;312;0;12;24;8;29;47;120;2
826;Côte-du-Sud;2022-10-03;G;Saint-Gabriel-Lalemant, m;1;;115;277;1;10;15;10;45;69;150;3
826;Côte-du-Sud;2022-10-03;G;Saint-Gabriel-Lalemant, m;1;;116;282;0;8;19;10;58;55;150;2
826;Côte-du-Sud;2022-10-03;G;Mont-Carmel, m;1;;117;308;1;26;15;11;47;55;155;4
826;Côte-du-Sud;2022-10-03;G;Mont-Carmel, m;1;;118;305;0;20;21;12;36;78;167;6
826;Côte-du-Sud;2022-10-03;G;Mont-Carmel, m;1;;119;309;0;18;25;11;35;78;167;3
826;Côte-du-Sud;2022-10-03;G;Picard, no;1;Regr. BVO-140;120;2;0;0;0;0;0;0;0;0
826;Côte-du-Sud;2022-10-03;G;Saint-Bruno-de-Kamouraska, m;1;;121;226;1;20;18;11;17;54;121;1
826;Côte-du-Sud;2022-10-03;G;Saint-Bruno-de-Kamouraska, m;1;;122;251;0;14;18;4;22;66;124;1
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;123;393;0;26;22;11;22;74;155;3
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;124;396;0;21;17;8;36;90;172;1
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;125;396;0;18;23;15;17;80;153;1
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;126;406;3;21;22;10;25;81;162;2
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;127;392;0;19;16;9;25;58;127;2
