Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boisvert Caroline D.D.;Chahad Sanae C.Q.;Desgagné Marie-Laurence P.Q.;Desnoyers Daniel P.C.Q-E.E.D.;Michaux-St-Louis Vincent Q.S.;Roberge Jean-François C.A.Q.-E.F.L.;Yunes Lina P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2022-10-03;G;Chambly, v;1;;56;364;1;0;50;23;33;57;14;178;1
238;Chambly;2022-10-03;G;Chambly, v;1;;57;356;4;1;30;22;20;56;5;138;0
238;Chambly;2022-10-03;G;Chambly, v;1;;58;358;0;2;33;14;44;59;7;159;1
238;Chambly;2022-10-03;G;Chambly, v;2;;59;407;0;0;19;13;15;60;11;118;2
238;Chambly;2022-10-03;G;Chambly, v;2;;60;391;0;0;40;19;28;75;11;173;1
238;Chambly;2022-10-03;G;Chambly, v;2;;61;389;0;1;35;16;43;103;16;214;1
238;Chambly;2022-10-03;G;Chambly, v;2;;62;399;0;0;32;25;33;74;20;184;1
238;Chambly;2022-10-03;G;Chambly, v;2;;63;402;0;2;27;24;44;61;15;173;3
238;Chambly;2022-10-03;G;Chambly, v;2;;64;397;0;0;34;28;26;70;12;170;3
238;Chambly;2022-10-03;G;Chambly, v;2;;65;417;0;4;33;24;42;76;14;193;3
238;Chambly;2022-10-03;G;Chambly, v;3;;66;387;0;2;32;17;35;63;19;168;2
238;Chambly;2022-10-03;G;Chambly, v;3;;67;381;0;1;27;17;31;95;25;196;1
238;Chambly;2022-10-03;G;Chambly, v;3;;68;378;0;3;25;21;27;79;16;171;1
238;Chambly;2022-10-03;G;Chambly, v;3;;69;374;0;2;23;13;34;64;32;168;6
238;Chambly;2022-10-03;G;Chambly, v;3;;70;359;0;1;30;15;16;71;26;159;1
238;Chambly;2022-10-03;G;Chambly, v;3;;71;387;0;0;25;8;16;71;14;134;1
238;Chambly;2022-10-03;G;Chambly, v;3;;72;377;0;2;27;14;37;94;27;201;2
238;Chambly;2022-10-03;G;Chambly, v;3;;73;394;0;3;26;15;36;86;27;193;3
238;Chambly;2022-10-03;G;Chambly, v;3;;74;384;0;1;29;15;40;74;20;179;3
238;Chambly;2022-10-03;G;Chambly, v;3;;75;393;0;0;38;15;41;77;10;181;1
238;Chambly;2022-10-03;G;Chambly, v;3;;76;377;0;4;30;20;28;85;27;194;2
238;Chambly;2022-10-03;G;Chambly, v;4;;77;402;1;1;36;8;28;73;20;167;4
238;Chambly;2022-10-03;G;Chambly, v;4;;78;395;0;1;32;18;31;52;8;142;1
238;Chambly;2022-10-03;G;Chambly, v;4;;79;408;0;2;37;8;56;70;14;187;3
238;Chambly;2022-10-03;G;Chambly, v;4;;80;398;0;0;33;7;44;70;8;162;5
238;Chambly;2022-10-03;G;Chambly, v;4;;81;409;0;2;28;18;34;66;8;156;6
238;Chambly;2022-10-03;G;Chambly, v;4;;82;409;0;5;33;10;40;78;16;182;4
238;Chambly;2022-10-03;G;Chambly, v;4;;83;380;0;2;33;9;22;56;6;128;0
238;Chambly;2022-10-03;G;Chambly, v;4;;84;403;0;0;25;8;22;76;18;149;1
238;Chambly;2022-10-03;G;Chambly, v;4;;85;402;1;4;26;15;28;82;31;187;1
238;Chambly;2022-10-03;G;Chambly, v;4;;86;391;0;1;35;9;40;63;25;173;1
238;Chambly;2022-10-03;G;Chambly, v;4;;87;394;0;3;26;13;33;73;22;170;2
238;Chambly;2022-10-03;G;Chambly, v;4;;88;397;0;3;30;17;33;86;20;189;1
238;Chambly;2022-10-03;G;Chambly, v;4;;89;394;0;2;32;15;22;84;19;174;2
238;Chambly;2022-10-03;G;Chambly, v;4;;90;405;1;8;41;9;28;77;13;177;4
238;Chambly;2022-10-03;G;Chambly, v;4;;91;396;0;5;37;10;34;87;12;185;2
238;Chambly;2022-10-03;G;Chambly, v;4;;92;407;1;2;37;19;42;75;14;190;0
238;Chambly;2022-10-03;G;Chambly, v;4;;93;396;0;1;30;14;43;70;12;170;0
238;Chambly;2022-10-03;G;Chambly, v;4;;94;412;0;0;31;13;41;72;10;167;2
238;Chambly;2022-10-03;G;Chambly, v;4;;95;376;0;5;39;8;34;66;16;168;1
238;Chambly;2022-10-03;G;Chambly, v;5;;96;398;0;4;38;19;40;69;21;191;3
238;Chambly;2022-10-03;G;Chambly, v;5;;97;402;0;3;16;15;28;103;29;194;1
238;Chambly;2022-10-03;G;Chambly, v;5;;98;390;0;4;42;14;40;85;19;204;1
238;Chambly;2022-10-03;G;Chambly, v;5;;99;390;0;3;38;16;34;68;12;171;2
238;Chambly;2022-10-03;G;Chambly, v;5;;100;411;1;3;31;24;47;63;11;180;1
238;Chambly;2022-10-03;G;Chambly, v;5;;101;399;0;0;32;15;28;49;12;136;0
238;Chambly;2022-10-03;G;Chambly, v;5;;102;400;0;1;27;11;34;64;7;144;2
238;Chambly;2022-10-03;G;Chambly, v;5;;103;400;0;7;28;22;33;66;11;167;5
238;Chambly;2022-10-03;G;Chambly, v;5;;104;387;1;0;30;26;25;54;14;150;1
238;Chambly;2022-10-03;G;Chambly, v;6;;105;385;0;3;34;17;31;39;16;140;1
238;Chambly;2022-10-03;G;Chambly, v;6;;106;381;0;1;37;15;36;69;13;171;2
238;Chambly;2022-10-03;G;Chambly, v;6;;107;378;0;1;28;14;44;62;16;165;4
238;Chambly;2022-10-03;G;Chambly, v;6;;108;378;1;1;52;19;36;66;18;193;4
238;Chambly;2022-10-03;G;Chambly, v;6;;109;385;0;3;22;18;38;62;10;153;1
238;Chambly;2022-10-03;G;Chambly, v;6;;110;373;1;1;31;14;44;55;12;158;2
238;Chambly;2022-10-03;G;Chambly, v;6;;111;392;1;0;27;23;40;72;23;186;9
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;112;407;1;3;35;25;30;103;15;212;4
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;113;397;1;0;46;21;22;110;7;207;2
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;114;421;1;3;44;13;30;110;6;207;7
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;115;412;0;2;48;22;31;101;10;214;3
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;116;406;0;1;38;26;20;94;12;191;6
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;117;401;0;5;54;11;38;97;10;215;4
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;118;406;0;4;46;26;27;100;7;210;0
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;119;403;0;0;48;24;30;87;11;200;4
238;Chambly;2022-10-03;G;Saint-Mathias-sur-Richelieu, m;1;;120;410;0;1;31;12;18;104;1;167;3
238;Chambly;2022-10-03;G;Richelieu, v;1;;121;392;1;0;23;12;26;48;13;123;2
238;Chambly;2022-10-03;G;Richelieu, v;1;;122;392;0;4;22;23;21;49;8;127;3
238;Chambly;2022-10-03;G;Richelieu, v;1;;123A;212;0;2;13;9;26;36;3;89;5
238;Chambly;2022-10-03;G;Richelieu, v;1;;123B;216;1;1;17;17;13;30;4;83;1
238;Chambly;2022-10-03;G;Richelieu, v;1;;124;404;0;1;41;18;23;81;11;175;7
238;Chambly;2022-10-03;G;Richelieu, v;1;;125;420;0;1;37;22;45;50;8;163;2
